"(<Abstr_type.A_STAR: 2>, 0.0, <Corr_type.UNI_RAND: 1>, 0.05, 0)","[('(9,11)', '37', '41'), ('(11,10)', '30', '26'), ('(3,6)', '16', '4'), ('(10,8)', '13', '27'), ('(11,9)', '3', '38')]"
"(<Abstr_type.PI_STAR: 3>, 0.0, <Corr_type.UNI_RAND: 1>, 0.05, 0)","[('(9,11)', '2', '1'), ('(11,10)', '1', '3'), ('(3,6)', '1', '3'), ('(10,8)', '1', '3'), ('(11,9)', '1', '3')]"
"(<Abstr_type.Q_STAR: 1>, 0.0, <Corr_type.UNI_RAND: 1>, 0.05, 0)","[('(9,11)', '53', '84'), ('(11,10)', '59', '13'), ('(3,6)', '42', '15'), ('(10,8)', '15', '65'), ('(11,9)', '12', '63')]"
"(<Abstr_type.A_STAR: 2>, 0.0, <Corr_type.UNI_RAND: 1>, 0.05, 1)","[('(7,11)', '44', '1'), ('(8,7)', '15', '5'), ('(4,2)', '1', '44'), ('(5,2)', '12', '31'), ('(7,3)', '9', '13')]"
"(<Abstr_type.PI_STAR: 3>, 0.0, <Corr_type.UNI_RAND: 1>, 0.05, 1)","[('(7,11)', '2', '1'), ('(8,7)', '1', '3'), ('(4,2)', '1', '3'), ('(5,2)', '1', '2'), ('(7,3)', '1', '3')]"
"(<Abstr_type.Q_STAR: 1>, 0.0, <Corr_type.UNI_RAND: 1>, 0.05, 1)","[('(7,11)', '74', '52'), ('(8,7)', '23', '3'), ('(4,2)', '16', '53'), ('(5,2)', '41', '43'), ('(7,3)', '24', '69')]"
"(<Abstr_type.A_STAR: 2>, 0.0, <Corr_type.UNI_RAND: 1>, 0.05, 2)","[('(8,9)', '38', '21'), ('(5,10)', '25', '35'), ('(7,1)', '19', '18'), ('(5,3)', '11', '41'), ('(5,9)', '35', '13')]"
"(<Abstr_type.PI_STAR: 3>, 0.0, <Corr_type.UNI_RAND: 1>, 0.05, 2)","[('(8,9)', '1', '3'), ('(5,10)', '3', '1'), ('(7,1)', '1', '3'), ('(5,3)', '2', '3'), ('(5,9)', '3', '1')]"
"(<Abstr_type.Q_STAR: 1>, 0.0, <Corr_type.UNI_RAND: 1>, 0.05, 2)","[('(8,9)', '10', '32'), ('(5,10)', '88', '30'), ('(7,1)', '3', '63'), ('(5,3)', '8', '3'), ('(5,9)', '60', '36')]"
"(<Abstr_type.A_STAR: 2>, 0.0, <Corr_type.UNI_RAND: 1>, 0.05, 3)","[('(4,4)', '1', '15'), ('(5,5)', '17', '44'), ('(8,7)', '15', '13'), ('(7,10)', '38', '10'), ('(3,11)', '18', '19')]"
"(<Abstr_type.PI_STAR: 3>, 0.0, <Corr_type.UNI_RAND: 1>, 0.05, 3)","[('(4,4)', '1', '3'), ('(5,5)', '3', '1'), ('(8,7)', '1', '2'), ('(7,10)', '1', '3'), ('(3,11)', '3', '1')]"
"(<Abstr_type.Q_STAR: 1>, 0.0, <Corr_type.UNI_RAND: 1>, 0.05, 3)","[('(4,4)', '11', '10'), ('(5,5)', '86', '64'), ('(8,7)', '23', '12'), ('(7,10)', '21', '30'), ('(3,11)', '51', '6')]"
"(<Abstr_type.A_STAR: 2>, 0.0, <Corr_type.UNI_RAND: 1>, 0.05, 4)","[('(7,3)', '9', '22'), ('(9,8)', '38', '18'), ('(1,1)', '21', '13'), ('(9,1)', '19', '31'), ('(2,10)', '18', '31')]"
"(<Abstr_type.PI_STAR: 3>, 0.0, <Corr_type.UNI_RAND: 1>, 0.05, 4)","[('(7,3)', '1', '3'), ('(9,8)', '1', '3'), ('(1,1)', '1', '3'), ('(9,1)', '1', '3'), ('(2,10)', '3', '1')]"
"(<Abstr_type.Q_STAR: 1>, 0.0, <Corr_type.UNI_RAND: 1>, 0.05, 4)","[('(7,3)', '24', '5'), ('(9,8)', '10', '48'), ('(1,1)', '7', '16'), ('(9,1)', '66', '89'), ('(2,10)', '25', '32')]"
"(<Abstr_type.A_STAR: 2>, 0.0, <Corr_type.UNI_RAND: 1>, 0.1, 0)","[('(10,8)', '13', '18'), ('(1,10)', '10', '23'), ('(1,9)', '18', '20'), ('(8,6)', '20', '25'), ('(10,11)', '24', '10'), ('(2,9)', '8', '26'), ('(10,10)', '3', '37'), ('(10,3)', '16', '45'), ('(10,7)', '38', '20'), ('(2,3)', '5', '15')]"
"(<Abstr_type.PI_STAR: 3>, 0.0, <Corr_type.UNI_RAND: 1>, 0.1, 0)","[('(10,8)', '1', '3'), ('(1,10)', '3', '1'), ('(1,9)', '3', '1'), ('(8,6)', '1', '3'), ('(10,11)', '2', '1'), ('(2,9)', '3', '1'), ('(10,10)', '1', '3'), ('(10,3)', '1', '2'), ('(10,7)', '1', '2'), ('(2,3)', '1', '2')]"
"(<Abstr_type.Q_STAR: 1>, 0.0, <Corr_type.UNI_RAND: 1>, 0.1, 0)","[('(10,8)', '15', '60'), ('(1,10)', '26', '25'), ('(1,9)', '37', '17'), ('(8,6)', '62', '87'), ('(10,11)', '13', '27'), ('(2,9)', '71', '54'), ('(10,10)', '54', '4'), ('(10,3)', '1', '35'), ('(10,7)', '10', '89'), ('(2,3)', '4', '71')]"
"(<Abstr_type.A_STAR: 2>, 0.0, <Corr_type.UNI_RAND: 1>, 0.1, 1)","[('(10,4)', '45', '35'), ('(5,11)', '6', '19'), ('(10,1)', '12', '18'), ('(9,8)', '38', '9'), ('(11,10)', '30', '38'), ('(4,7)', '14', '1'), ('(9,3)', '9', '2'), ('(5,5)', '17', '8'), ('(2,7)', '16', '10'), ('(3,4)', '12', '9')]"
"(<Abstr_type.PI_STAR: 3>, 0.0, <Corr_type.UNI_RAND: 1>, 0.1, 1)","[('(10,4)', '4', '1'), ('(5,11)', '3', '1'), ('(10,1)', '1', '2'), ('(9,8)', '1', '3'), ('(11,10)', '1', '3'), ('(4,7)', '1', '3'), ('(9,3)', '1', '2'), ('(5,5)', '3', '2'), ('(2,7)', '1', '3'), ('(3,4)', '1', '3')]"
"(<Abstr_type.Q_STAR: 1>, 0.0, <Corr_type.UNI_RAND: 1>, 0.1, 1)","[('(10,4)', '78', '73'), ('(5,11)', '50', '64'), ('(10,1)', '31', '24'), ('(9,8)', '10', '28'), ('(11,10)', '59', '51'), ('(4,7)', '40', '73'), ('(9,3)', '18', '89'), ('(5,5)', '86', '26'), ('(2,7)', '32', '16'), ('(3,4)', '34', '84')]"
"(<Abstr_type.A_STAR: 2>, 0.0, <Corr_type.UNI_RAND: 1>, 0.1, 2)","[('(1,7)', '19', '9'), ('(3,3)', '1', '25'), ('(7,2)', '16', '15'), ('(1,3)', '2', '41'), ('(9,3)', '9', '19'), ('(10,3)', '16', '13'), ('(3,11)', '18', '29'), ('(8,10)', '13', '37'), ('(3,5)', '19', '40'), ('(3,6)', '16', '31')]"
"(<Abstr_type.PI_STAR: 3>, 0.0, <Corr_type.UNI_RAND: 1>, 0.1, 2)","[('(1,7)', '1', '2'), ('(3,3)', '1', '2'), ('(7,2)', '1', '2'), ('(1,3)', '1', '2'), ('(9,3)', '1', '4'), ('(10,3)', '1', '3'), ('(3,11)', '3', '1'), ('(8,10)', '1', '2'), ('(3,5)', '1', '2'), ('(3,6)', '1', '2')]"
